t, V
-0.92,0.05
0.00, 0.00
0.02, 3.45
0.05, 2.72
0.06, 3.62
0.06, 2.72
0.11, 2.75
0.12, 2.35
0.14, 1.68
0.20, 2.34
0.24, 2.11
0.29, 2.49
0.26, 2.14
0.41, 1.92
0.60, 1.71
0.98, 1.43
1.40, 1.15
1.40, 1.42
1.43, 1.12
1.94, 0.86
2.60, 0.60
3.22, 0.43
3.65, 0.32
4.36, 0.25
4.95, 0.17
5.94, 0.09
6.47, 0.08
6.51, 1.14
6.54, 3.86
6.60, 2.75
6.63, 3.03
6.81, 2.82
6.99, 2.57
7.38, 2.12
7.80, 1.71
8.11, 1.48
8.47, 1.22
8.93, 0.94

